VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017850758, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
